iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,profit
1,0,0,0,1,0,0,2,1,3,3,73.0
2,0,0,0,0,0,1,1,3,2,3,75.0
3,0,0,0,0,1,0,0,3,3,3,76.0
4,0,0,0,1,1,2,1,0,2,3,66.0
5,0,0,0,0,0,2,1,2,2,3,73.0
6,0,0,0,0,0,0,2,2,3,3,77.0
7,0,0,0,1,1,1,1,0,3,3,69.0
8,0,0,0,1,0,1,0,2,3,3,73.0
9,0,0,0,1,0,1,1,2,2,3,71.0
10,0,0,0,1,0,0,1,2,3,3,74.0
11,0,0,0,0,0,1,2,1,3,3,75.0
12,0,0,0,0,1,2,1,0,3,3,71.0
13,0,0,0,0,0,1,3,2,1,3,72.0
14,0,0,1,0,1,0,2,1,2,3,68.0
15,0,0,0,0,1,1,1,2,2,3,72.0
16,0,0,1,0,1,0,1,1,3,3,70.0
17,0,0,0,1,0,1,2,2,3,1,67.0
18,0,0,0,0,1,1,0,2,3,3,74.0
19,0,1,0,0,1,0,0,2,3,3,70.0
20,0,0,1,0,1,1,2,1,1,3,65.0
21,0,0,0,0,0,2,0,3,3,2,73.0
22,0,0,0,0,0,1,1,3,2,3,75.0
23,0,0,0,1,0,0,0,3,3,3,75.0
24,0,0,2,0,0,1,0,3,1,3,65.0
25,0,0,0,0,1,2,0,1,3,3,72.0
26,1,0,0,0,0,0,3,0,3,3,69.0
27,0,1,0,2,0,1,0,0,3,3,63.0
28,0,0,0,0,0,0,2,2,3,3,77.0
29,0,1,0,0,0,0,1,2,3,3,72.0
30,0,0,0,1,0,0,3,1,3,2,70.0
31,0,1,1,0,0,1,1,2,1,3,63.0
32,0,0,0,0,2,2,0,2,1,3,67.0
33,0,0,0,1,0,0,2,1,3,3,73.0
34,0,0,0,0,1,2,1,1,2,3,70.0
35,0,0,1,0,0,1,1,1,3,3,71.0
36,0,1,0,0,1,2,0,1,3,2,64.0
37,1,1,0,0,1,1,0,0,3,3,61.0
38,0,0,0,1,0,0,1,2,3,3,74.0
39,0,0,0,1,1,0,0,2,3,3,72.0
40,0,0,0,1,1,1,1,0,3,3,69.0
41,0,0,0,0,1,0,2,2,2,3,73.0
42,0,0,1,0,0,1,1,3,1,3,69.0
43,0,0,0,1,0,2,1,0,3,3,70.0
44,0,0,0,0,1,1,0,2,3,3,74.0
45,0,0,0,0,0,1,2,1,3,3,75.0
46,0,0,1,0,0,0,0,3,3,3,74.0
47,1,0,0,1,0,0,1,1,3,3,67.0
48,0,0,1,0,0,0,0,3,3,3,74.0
49,0,0,1,0,0,1,3,1,2,2,66.0
50,0,0,0,0,1,1,1,2,2,3,72.0
51,0,1,2,0,0,1,1,1,1,3,58.0
52,0,0,0,1,1,0,0,2,3,3,72.0
53,0,0,0,1,0,0,0,3,3,3,75.0
54,0,0,0,0,1,0,3,1,2,3,72.0
55,0,0,0,0,0,2,1,1,3,3,74.0
56,0,0,0,0,0,2,1,2,3,2,72.0
57,0,0,0,0,0,1,2,2,3,2,73.0
58,1,0,0,0,0,1,0,2,3,3,70.0
59,0,0,0,1,0,0,2,1,3,3,73.0
60,1,0,0,0,2,0,1,2,1,3,63.0
61,0,1,0,0,0,3,0,2,1,3,65.0
62,0,0,0,0,0,0,1,3,3,3,78.0
63,0,0,0,0,0,0,3,3,1,3,74.0
64,0,0,0,0,0,0,3,2,2,3,75.0
65,0,0,0,0,0,0,2,3,2,3,76.0
66,0,0,0,0,0,3,0,3,1,3,71.0
67,0,0,1,0,0,1,1,1,3,3,71.0
68,0,1,0,1,0,0,2,1,2,3,66.0
69,0,0,0,0,0,0,3,1,3,3,76.0
70,0,0,1,0,0,0,0,3,3,3,74.0
71,0,0,0,0,0,0,2,2,3,3,77.0
72,0,0,0,0,0,0,1,3,3,3,78.0
73,0,0,0,0,0,0,2,2,3,3,77.0
74,0,0,0,1,0,2,0,1,3,3,71.0
75,1,0,1,0,1,0,2,1,2,2,59.0
76,0,0,0,1,0,0,0,3,3,3,75.0
77,0,0,0,0,0,0,3,3,1,3,74.0
78,0,1,0,0,0,0,2,1,3,3,71.0
79,0,0,0,0,1,0,0,3,3,3,76.0
80,0,0,0,1,1,0,1,2,2,3,70.0
81,0,0,0,1,1,2,1,0,2,3,66.0
82,0,0,1,0,0,0,2,1,3,3,72.0
83,0,0,0,1,2,1,0,2,1,3,65.0
84,0,0,0,0,0,0,2,3,2,3,76.0
85,0,0,0,1,0,1,3,3,1,1,64.0
86,0,0,0,0,2,0,1,1,3,3,72.0
87,0,0,1,0,1,0,1,1,3,3,70.0
88,0,0,0,0,0,1,0,3,3,3,77.0
89,0,0,0,1,0,1,1,1,3,3,72.0
90,0,0,0,0,0,1,3,0,3,3,74.0
91,0,0,0,0,2,2,1,0,3,2,66.0
92,0,2,1,0,0,0,1,0,3,3,61.0
93,1,0,0,0,0,0,1,2,3,3,71.0
94,0,1,0,1,0,1,2,1,1,3,63.0
95,0,0,0,0,1,2,1,0,3,3,71.0
96,1,0,0,0,1,0,1,1,3,3,68.0
97,0,0,1,0,0,2,0,1,3,3,70.0
98,1,0,0,0,0,0,3,0,3,3,69.0
99,0,0,0,0,0,2,2,1,2,3,72.0
100,0,1,0,0,0,1,1,2,2,3,69.0
